Category_Value,Count
genre:Children;Fantasy;Comedy;Family,5229
genre:Children;Fantasy;Comedy;Holiday,10792
genre:Children;Fantasy;Comedy;Mystery;Drama;Adventure;Science fiction;Horror;Thriller,165
genre:Children;Fantasy;Comedy;Special,2594
genre:Children;Fantasy;Musical comedy;Musical;Family,29651
genre:Children;Fantasy;Science fiction,163
genre:Children;Football,1756
genre:Children;Holiday;Comedy drama,2916
genre:Children;Holiday;Romance,19448
genre:Children;Musical comedy,20471
genre:Children;Reality;Adventure,152
genre:Children;Sitcom,466579
genre:Comedy,40978411
genre:Comedy drama,24281559
genre:Comedy drama;Anime,1694
genre:Comedy drama;LGBTQ,91125
genre:Comedy drama;Romance,748286
genre:Comedy drama;Thriller,11980
genre:Comedy;Action,9109860
genre:Comedy;Action & Adventure,8885
genre:Comedy;Action;Action & Adventure,4748
genre:Comedy;Action;Anime,960
genre:Comedy;Action;Family,1913
genre:Comedy;Action;Martial arts,148421
genre:Comedy;Action;Thriller,10103
genre:Comedy;Adventure,2524879
genre:Comedy;Adventure;Action,16348
genre:Comedy;Adventure;Action;Family,62814
genre:Comedy;Adventure;Action;Musical comedy;Musical,195042
genre:Comedy;Adventure;Action;Romance,399891
genre:Comedy;Adventure;Action;Thriller,11694
genre:Comedy;Adventure;Anime,2070
genre:Comedy;Adventure;Family,33878
genre:Comedy;Adventure;Holiday,110261
genre:Comedy;Adventure;Horror,96058
genre:Comedy;Adventure;Musical,17428
genre:Comedy;Adventure;Romance,7793
genre:Comedy;Adventure;Science fiction;Action,2414
genre:Comedy;Adventure;Science fiction;Sci-Fi,953414
genre:Comedy;Adventure;Science-Fiction;Sci-Fi;Satire/Spoof,1784749
genre:Comedy;Animals;Pets,578723
genre:Comedy;Anime,14751
genre:Comedy;Anthology,2413
genre:Comedy;Baseball,121739
genre:Comedy;Basketball;Sports,7546
genre:Comedy;Bowling,3673
genre:Comedy;Comedy drama,80993
genre:Comedy;Comedy drama;Dark comedy,5328
genre:Comedy;Comedy drama;LGBTQ,6687
genre:Comedy;Comedy drama;Romance,18891
genre:Comedy;Cooking,53714
genre:Comedy;Cooking;Talk,66748
genre:Comedy;Cooking;Travel,1490
genre:Comedy;Crime,191378
genre:Comedy;Crime drama,14796797
genre:Comedy;Crime drama;Action,7419
genre:Comedy;Crime drama;Thriller,15371
genre:Comedy;Crime;Action,70394
genre:Comedy;Crime;Action;Action & Adventure,6036
genre:Comedy;Crime;Action;Thriller;Action & Adventure,16619
genre:Comedy;Crime;Adventure,75732
genre:Comedy;Crime;Adventure;Action,37284
genre:Comedy;Crime;Drama,3385
genre:Comedy;Crime;Drama;Comedy drama,100851
genre:Comedy;Crime;Drama;Comedy drama;Romance,43265
genre:Comedy;Crime;Mystery,78904
genre:Comedy;Crime;Mystery;Holiday,3464
genre:Comedy;Dark comedy,32496
genre:Comedy;Drama,545485
genre:Comedy;Drama;Action;Comedy drama,1059090
genre:Comedy;Drama;Action;Romantic comedy,179046
genre:Comedy;Drama;Comedy drama,865317
genre:Comedy;Drama;Comedy drama;Baseball,392810
genre:Comedy;Drama;Comedy drama;LGBTQ,65462
genre:Comedy;Drama;Comedy drama;Romance,685
genre:Comedy;Drama;Comedy drama;Romance;Independent,112607
genre:Comedy;Drama;Comedy drama;Romance;Literary/Book Based,22095
genre:Comedy;Drama;Holiday;Romance,12952
genre:Comedy;Drama;Horror,76645
genre:Comedy;Drama;LGBTQ,3613
genre:Comedy;Drama;Law;Crime drama,1363
genre:Comedy;Drama;Literary/Book Based;Teen,101581
genre:Comedy;Drama;Romance,186119
genre:Comedy;Drama;Romance;LGBTQ,3335
genre:Comedy;Drama;Romance;Romantic comedy,101468
genre:Comedy;Drama;Romance;Sports,5185
genre:Comedy;Drama;Romantic comedy,1293406
genre:Comedy;Drama;Special,10208
genre:Comedy;Family,464004
genre:Comedy;Game show,4833410
genre:Comedy;High School,23447
genre:Comedy;Historical drama;Dark comedy,2248
genre:Comedy;Holiday,623853
genre:Comedy;Holiday;Crime drama,1038857
genre:Comedy;Holiday;Horror,6708
genre:Comedy;Holiday;Horror;Thriller,25428
genre:Comedy;Holiday;Romance,28209
genre:Comedy;Horror,407612
genre:Comedy;Horror;Thriller,30227
genre:Comedy;Interview;Talk,2355394
genre:Comedy;LGBTQ,721035
genre:Comedy;LGBTQ;Musical comedy,2008
genre:Comedy;LGBTQ;Romantic comedy,29478
genre:Comedy;Military,73267
genre:Comedy;Music & Musicals,20546
genre:Comedy;Music;Anime;Pop,1010
genre:Comedy;Musical,7596
genre:Comedy;Musical comedy;Music & Musicals,411
genre:Comedy;Mystery,439091
