field_combination,summary_value,request_count,fill_rate
genre:Documentary;Collectibles,129,5492,0.02348871085214858
genre:Documentary;Comedy,3820,443935,0.008604863324585807
genre:Documentary;Comedy;Biography,63,3039,0.02073050345508391
genre:Documentary;Comedy;LGBTQ,58,1116,0.05197132616487455
genre:Documentary;Comedy;Science,185,17722,0.010439002369935673
genre:Documentary;Comedy;Special,143,1274,0.11224489795918367
genre:Documentary;Comedy;Special;Standup,990,22605,0.043795620437956206
genre:Documentary;Community,55,2232,0.0246415770609319
genre:Documentary;Competition reality,11736,1350977,0.008687046485617446
genre:Documentary;Cooking,866,85292,0.010153355531585612
genre:Documentary;Cooking;Basketball,40,8196,0.004880429477794046
genre:Documentary;Cooking;Bus./financial,95,7694,0.012347283597608526
genre:Documentary;Cooking;Competition reality,579,38453,0.01505734273008608
genre:Documentary;Cooking;History,31279,1473535,0.0212271849667636
genre:Documentary;Cooking;Travel,2036,191194,0.010648869734405892
genre:Documentary;Crime,3512714,240017898,0.014635216912032118
genre:Documentary;Crime;Biography,45440,2129782,0.02133551696840334
genre:Documentary;Crime;Biography;History,827,54951,0.015049771614711289
genre:Documentary;Crime;Biography;History;American history;World history,13,2087,0.006229036895064686
genre:Documentary;Crime;Biography;Miniseries,206,16097,0.012797415667515686
genre:Documentary;Crime;Docudrama,3111,104889,0.02965992620770529
genre:Documentary;Crime;Drama,766,18295,0.04186936321399289
genre:Documentary;Crime;Fashion,566,23355,0.024234639263540997
genre:Documentary;Crime;Football,172,16941,0.010152883536981287
genre:Documentary;Crime;History,7117,253242,0.028103553123099645
genre:Documentary;Crime;Holiday,125,14975,0.008347245409015025
genre:Documentary;Crime;Interview,24,2616,0.009174311926605505
genre:Documentary;Crime;Law,301678,20774212,0.014521754182541317
genre:Documentary;Crime;Law;Miniseries,4677,702999,0.0066529255375896695
genre:Documentary;Crime;Law;Special,62,5775,0.010735930735930736
genre:Documentary;Crime;Miniseries,9292,285172,0.03258384413617045
genre:Documentary;Crime;Mystery,481038,25472945,0.0188842711355126
genre:Documentary;Crime;Mystery;Law,4,329,0.0121580547112462
genre:Documentary;Crime;Mystery;Miniseries,3586,146652,0.024452445244524453
genre:Documentary;Crime;Mystery;Special,403,92613,0.0043514409424162915
genre:Documentary;Crime;Special,16017,964386,0.01660849493874859
genre:Documentary;Crime;Technology,13604,2344059,0.00580360818563014
genre:Documentary;Docudrama,115,3639,0.03160208848584776
genre:Documentary;Docudrama;History,794,33426,0.023753963980135222
genre:Documentary;Drama;LGBTQ,74,9951,0.007436438548889559
genre:Documentary;Drama;Miniseries,96,4460,0.021524663677130046
genre:Documentary;Drama;Paranormal;Science,3,1860,0.0016129032258064516
